,trials,trial_keys,trial_type
0,0,4,No transition
1,1,2,Training
2,2,2,Training
3,3,4,Training
4,4,2,Training
5,5,2,Training
6,6,2,Training
7,7,2,Training
8,8,1,Training
9,9,1,Training
10,10,1,Training
11,11,4,Training
12,12,2,Training
13,13,1,Training
14,14,3,Training
15,15,2,Training
16,16,1,Training
17,17,2,Training
18,18,2,Training
19,19,3,Training
20,20,1,No transition
21,21,1,Random
22,22,2,Random
23,23,1,Random
24,24,2,Random
25,25,4,Random
26,26,3,Random
27,27,4,Random
28,28,3,Random
29,29,4,Random
30,30,3,Random
31,31,2,Random
32,32,1,Random
33,33,4,Random
34,34,3,Random
35,35,1,Random
36,36,2,Random
37,37,2,Random
38,38,4,Random
39,39,3,Random
40,40,2,No transition
41,41,2,Random
42,42,4,Random
43,43,3,Random
44,44,2,Random
45,45,2,Random
46,46,1,Random
47,47,4,Random
48,48,1,Random
49,49,1,Random
50,50,1,Random
51,51,1,Random
52,52,4,Random
53,53,3,Random
54,54,4,Random
55,55,2,Random
56,56,2,Random
57,57,1,Random
58,58,1,Random
59,59,2,Random
60,60,2,No transition
61,61,4,Random
62,62,3,Random
63,63,4,Random
64,64,3,Random
65,65,4,Random
66,66,2,Random
67,67,3,Random
68,68,1,Random
69,69,4,Random
70,70,3,Random
71,71,4,Random
72,72,2,Random
73,73,1,Random
74,74,3,Random
75,75,3,Random
76,76,1,Random
77,77,2,Random
78,78,2,Random
79,79,2,Random
80,80,1,No transition
81,81,4,Random
82,82,4,Random
83,83,2,Random
84,84,1,Random
85,85,2,Random
86,86,1,Random
87,87,3,Random
88,88,3,Random
89,89,2,Random
90,90,4,Random
91,91,1,Random
92,92,1,Random
93,93,3,Random
94,94,4,Random
95,95,4,Random
96,96,4,Random
97,97,2,Random
98,98,2,Random
99,99,1,Random
100,100,3,No transition
101,101,4,Random
102,102,2,Random
103,103,2,Random
104,104,3,Random
105,105,3,Random
106,106,4,Random
107,107,1,Random
108,108,3,Random
109,109,4,Random
110,110,4,Random
111,111,4,Random
112,112,4,Random
113,113,2,Random
114,114,2,Random
115,115,1,Random
116,116,2,Random
117,117,2,Random
118,118,2,Random
119,119,1,Random
120,120,4,No transition
121,121,4,Random
122,122,1,Random
123,123,3,Random
124,124,2,Random
125,125,1,Random
126,126,1,Random
127,127,3,Random
128,128,2,Random
129,129,4,Random
130,130,4,Random
131,131,3,Random
132,132,4,Random
133,133,3,Random
134,134,1,Random
135,135,2,Random
136,136,1,Random
137,137,3,Random
138,138,3,Random
139,139,4,Random
140,140,1,No transition
141,141,4,Random
142,142,2,Random
143,143,3,Random
144,144,4,Random
145,145,4,Random
146,146,2,Random
147,147,4,Random
148,148,4,Random
149,149,4,Random
150,150,3,Random
151,151,4,Random
152,152,3,Random
153,153,2,Random
154,154,4,Random
155,155,4,Random
156,156,2,Random
157,157,1,Random
158,158,1,Random
159,159,3,Random
160,160,3,No transition
161,161,2,Random
162,162,2,Random
163,163,3,Random
164,164,3,Random
165,165,2,Random
166,166,2,Random
167,167,3,Random
168,168,1,Random
169,169,4,Random
170,170,3,Random
171,171,2,Random
172,172,4,Random
173,173,1,Random
174,174,4,Random
175,175,3,Random
176,176,2,Random
177,177,3,Random
178,178,2,Random
179,179,4,Random
180,180,4,No transition
181,181,4,Random
182,182,2,Random
183,183,2,Random
184,184,2,Random
185,185,4,Random
186,186,2,Random
187,187,4,Random
188,188,1,Random
189,189,4,Random
190,190,4,Random
191,191,2,Random
192,192,3,Random
193,193,1,Random
194,194,2,Random
195,195,1,Random
196,196,2,Random
197,197,1,Random
198,198,1,Random
199,199,4,Random
200,200,3,No transition
201,201,3,Random
202,202,4,Random
203,203,1,Random
204,204,2,Random
205,205,2,Random
206,206,2,Random
207,207,4,Random
208,208,1,Random
209,209,4,Random
210,210,2,Random
211,211,2,Random
212,212,4,Random
213,213,1,Random
214,214,3,Random
215,215,3,Random
216,216,1,Random
217,217,3,Random
218,218,3,Random
219,219,1,Random
220,220,3,No transition
221,221,3,Random
222,222,3,Random
223,223,3,Random
224,224,4,Random
225,225,3,Random
226,226,3,Random
227,227,3,Random
228,228,1,Random
229,229,2,Random
230,230,1,Random
231,231,3,Random
232,232,1,Random
233,233,1,Random
234,234,3,Random
235,235,1,Random
236,236,3,Random
237,237,1,Random
238,238,3,Random
239,239,1,Random
240,240,2,No transition
241,241,4,Random
242,242,1,Random
243,243,3,Random
244,244,2,Random
245,245,4,Random
246,246,3,Random
247,247,1,Random
248,248,1,Random
249,249,2,Random
250,250,4,Random
251,251,2,Random
252,252,3,Random
253,253,4,Random
254,254,2,Random
255,255,4,Random
256,256,2,Random
257,257,2,Random
258,258,2,Random
259,259,4,Random
260,260,2,No transition
261,261,1,Random
262,262,1,Random
263,263,3,Random
264,264,4,Random
265,265,2,Random
266,266,4,Random
267,267,1,Random
268,268,3,Random
269,269,3,Random
270,270,4,Random
271,271,3,Random
272,272,4,Random
273,273,2,Random
274,274,2,Random
275,275,2,Random
276,276,1,Random
277,277,1,Random
278,278,4,Random
279,279,1,Random
280,280,2,No transition
281,281,2,Random
282,282,2,Random
283,283,4,Random
284,284,1,Random
285,285,4,Random
286,286,2,Random
287,287,1,Random
288,288,4,Random
289,289,1,Random
290,290,1,Random
291,291,4,Random
292,292,2,Random
293,293,3,Random
294,294,2,Random
295,295,2,Random
296,296,3,Random
297,297,1,Random
298,298,3,Random
299,299,1,Random
300,300,4,No transition
301,301,2,Random
302,302,1,Random
303,303,1,Random
304,304,1,Random
305,305,4,Random
306,306,4,Random
307,307,1,Random
308,308,2,Random
309,309,4,Random
310,310,3,Random
311,311,4,Random
312,312,3,Random
313,313,2,Random
314,314,2,Random
315,315,4,Random
316,316,2,Random
317,317,1,Random
318,318,2,Random
319,319,3,Random
320,320,1,No transition
321,321,3,Random
322,322,2,Random
323,323,2,Random
324,324,1,Random
325,325,4,Random
326,326,1,Random
327,327,1,Random
328,328,3,Random
329,329,2,Random
330,330,4,Random
331,331,2,Random
332,332,1,Random
333,333,3,Random
334,334,3,Random
335,335,4,Random
336,336,3,Random
337,337,3,Random
338,338,2,Random
339,339,4,Random
340,340,2,No transition
341,341,1,Random
342,342,3,Random
343,343,1,Random
344,344,2,Random
345,345,2,Random
346,346,3,Random
347,347,1,Random
348,348,3,Random
349,349,2,Random
350,350,2,Random
351,351,4,Random
352,352,4,Random
353,353,2,Random
354,354,1,Random
355,355,3,Random
356,356,2,Random
357,357,1,Random
358,358,1,Random
359,359,2,Random
360,360,2,No transition
