,trials,trial_keys,trial_type
0,0,1,no transition
1,1,3,training
2,2,4,training
3,3,4,training
4,4,2,training
5,5,3,no transition
6,6,4,training
7,7,1,training
8,8,4,training
9,9,2,training
10,10,1,no transition
11,11,2,random
12,12,2,random
13,13,4,random
14,14,2,random
15,15,3,no transition
16,16,4,random
17,17,3,random
18,18,1,random
19,19,3,random
20,20,1,no transition
21,21,4,random
22,22,2,random
23,23,4,random
24,24,1,random
25,25,2,no transition
26,26,2,random
27,27,4,random
28,28,4,random
29,29,4,random
30,30,4,no transition
31,31,1,random
32,32,2,random
33,33,4,random
34,34,3,random
35,35,4,no transition
36,36,3,random
37,37,1,random
38,38,2,random
39,39,4,random
40,40,1,no transition
41,41,3,random
42,42,2,random
43,43,2,random
44,44,1,random
45,45,2,no transition
46,46,2,random
47,47,2,random
48,48,4,random
49,49,3,random
50,50,1,no transition
51,51,1,random
52,52,1,random
53,53,1,random
54,54,4,random
55,55,4,no transition
56,56,2,random
57,57,1,random
58,58,3,random
59,59,1,random
60,60,3,no transition
61,61,3,random
62,62,2,random
63,63,1,random
64,64,3,random
65,65,2,no transition
66,66,3,random
67,67,4,random
68,68,4,random
69,69,2,random
70,70,3,no transition
71,71,3,random
72,72,2,random
73,73,3,random
74,74,3,random
75,75,3,no transition
76,76,4,random
77,77,2,random
78,78,1,random
79,79,3,random
80,80,1,no transition
81,81,3,random
82,82,4,random
83,83,4,random
84,84,1,random
85,85,4,no transition
86,86,3,random
87,87,2,random
88,88,3,random
89,89,1,random
90,90,2,no transition
91,91,4,random
92,92,1,random
93,93,4,random
94,94,4,random
95,95,3,no transition
96,96,2,random
97,97,1,random
98,98,2,random
99,99,3,random
100,100,4,no transition
101,101,1,random
102,102,2,random
103,103,1,random
104,104,4,random
105,105,1,no transition
106,106,2,random
107,107,4,random
108,108,3,random
109,109,1,random
110,110,2,no transition
111,111,2,random
112,112,1,random
113,113,1,random
114,114,2,random
115,115,3,no transition
116,116,3,random
117,117,3,random
118,118,1,random
119,119,1,random
120,120,3,no transition
121,121,4,random
122,122,3,random
123,123,3,random
124,124,3,random
125,125,2,no transition
126,126,2,random
127,127,3,random
128,128,3,random
129,129,3,random
130,130,4,no transition
