,trials,trial_keys,trial_type
0,0,4,No transition
1,1,4,Training
2,2,4,Training
3,3,3,Training
4,4,3,Training
5,5,2,Training
6,6,3,Training
7,7,3,Training
8,8,3,Training
9,9,2,Training
10,10,4,Training
11,11,3,Training
12,12,4,Training
13,13,4,Training
14,14,4,Training
15,15,1,Training
16,16,4,Training
17,17,3,Training
18,18,4,Training
19,19,3,Training
20,20,2,No transition
21,21,4,Random
22,22,4,Random
23,23,3,Random
24,24,1,Random
25,25,2,Random
26,26,2,Random
27,27,3,Random
28,28,1,Random
29,29,3,Random
30,30,2,Random
31,31,4,Random
32,32,4,Random
33,33,3,Random
34,34,3,Random
35,35,1,Random
36,36,4,Random
37,37,1,Random
38,38,2,Random
39,39,4,Random
40,40,3,No transition
41,41,1,Random
42,42,4,Random
43,43,3,Random
44,44,1,Random
45,45,2,Random
46,46,2,Random
47,47,3,Random
48,48,4,Random
49,49,4,Random
50,50,2,Random
51,51,2,Random
52,52,1,Random
53,53,2,Random
54,54,1,Random
55,55,4,Random
56,56,1,Random
57,57,3,Random
58,58,1,Random
59,59,2,Random
60,60,2,No transition
61,61,2,Random
62,62,2,Random
63,63,4,Random
64,64,4,Random
65,65,4,Random
66,66,4,Random
67,67,1,Random
68,68,2,Random
69,69,3,Random
70,70,1,Random
71,71,4,Random
72,72,2,Random
73,73,1,Random
74,74,3,Random
75,75,4,Random
76,76,4,Random
77,77,2,Random
78,78,1,Random
79,79,3,Random
80,80,2,No transition
81,81,4,Random
82,82,3,Random
83,83,4,Random
84,84,3,Random
85,85,4,Random
86,86,2,Random
87,87,1,Random
88,88,3,Random
89,89,2,Random
90,90,3,Random
91,91,4,Random
92,92,3,Random
93,93,4,Random
94,94,4,Random
95,95,1,Random
96,96,4,Random
97,97,4,Random
98,98,1,Random
99,99,3,Random
100,100,1,No transition
101,101,1,Random
102,102,2,Random
103,103,2,Random
104,104,4,Random
105,105,3,Random
106,106,3,Random
107,107,4,Random
108,108,4,Random
109,109,1,Random
110,110,3,Random
111,111,4,Random
112,112,4,Random
113,113,4,Random
114,114,4,Random
115,115,1,Random
116,116,3,Random
117,117,4,Random
118,118,1,Random
119,119,4,Random
120,120,3,No transition
121,121,3,Random
122,122,3,Random
123,123,3,Random
124,124,2,Random
125,125,3,Random
126,126,2,Random
127,127,1,Random
128,128,4,Random
129,129,2,Random
130,130,2,Random
131,131,3,Random
132,132,2,Random
133,133,3,Random
134,134,4,Random
135,135,2,Random
136,136,4,Random
137,137,4,Random
138,138,3,Random
139,139,3,Random
140,140,3,No transition
141,141,2,Random
142,142,1,Random
143,143,4,Random
144,144,2,Random
145,145,3,Random
146,146,1,Random
147,147,4,Random
148,148,4,Random
149,149,3,Random
150,150,3,Random
151,151,1,Random
152,152,2,Random
153,153,4,Random
154,154,4,Random
155,155,2,Random
156,156,2,Random
157,157,2,Random
158,158,1,Random
159,159,4,Random
160,160,4,No transition
161,161,2,Random
162,162,3,Random
163,163,3,Random
164,164,1,Random
165,165,4,Random
166,166,1,Random
167,167,1,Random
168,168,1,Random
169,169,3,Random
170,170,2,Random
171,171,4,Random
172,172,3,Random
173,173,1,Random
174,174,4,Random
175,175,4,Random
176,176,3,Random
177,177,1,Random
178,178,3,Random
179,179,1,Random
180,180,4,No transition
181,181,4,Random
182,182,3,Random
183,183,2,Random
184,184,2,Random
185,185,1,Random
186,186,1,Random
187,187,3,Random
188,188,4,Random
189,189,3,Random
190,190,1,Random
191,191,2,Random
192,192,2,Random
193,193,3,Random
194,194,1,Random
195,195,1,Random
196,196,1,Random
197,197,1,Random
198,198,4,Random
199,199,1,Random
200,200,3,No transition
201,201,3,Random
202,202,1,Random
203,203,1,Random
204,204,1,Random
205,205,2,Random
206,206,1,Random
207,207,4,Random
208,208,2,Random
209,209,3,Random
210,210,1,Random
211,211,2,Random
212,212,1,Random
213,213,4,Random
214,214,4,Random
215,215,1,Random
216,216,4,Random
217,217,4,Random
218,218,3,Random
219,219,3,Random
220,220,4,No transition
221,221,1,Random
222,222,1,Random
223,223,1,Random
224,224,2,Random
225,225,2,Random
226,226,2,Random
227,227,1,Random
228,228,4,Random
229,229,2,Random
230,230,4,Random
231,231,2,Random
232,232,4,Random
233,233,2,Random
234,234,3,Random
235,235,4,Random
236,236,4,Random
237,237,4,Random
238,238,2,Random
239,239,3,Random
240,240,2,No transition
241,241,2,Random
242,242,2,Random
243,243,2,Random
244,244,2,Random
245,245,4,Random
246,246,2,Random
247,247,2,Random
248,248,3,Random
249,249,2,Random
250,250,1,Random
251,251,2,Random
252,252,3,Random
253,253,1,Random
254,254,4,Random
255,255,2,Random
256,256,1,Random
257,257,1,Random
258,258,2,Random
259,259,4,Random
260,260,4,No transition
261,261,3,Random
262,262,1,Random
263,263,1,Random
264,264,3,Random
265,265,3,Random
266,266,3,Random
267,267,4,Random
268,268,1,Random
269,269,1,Random
270,270,1,Random
271,271,1,Random
272,272,4,Random
273,273,2,Random
274,274,4,Random
275,275,1,Random
276,276,1,Random
277,277,2,Random
278,278,2,Random
279,279,3,Random
280,280,2,No transition
281,281,2,Random
282,282,3,Random
283,283,3,Random
284,284,1,Random
285,285,3,Random
286,286,1,Random
287,287,3,Random
288,288,4,Random
289,289,1,Random
290,290,3,Random
291,291,2,Random
292,292,1,Random
293,293,1,Random
294,294,4,Random
295,295,4,Random
296,296,2,Random
297,297,4,Random
298,298,1,Random
299,299,2,Random
300,300,1,No transition
301,301,1,Random
302,302,1,Random
303,303,2,Random
304,304,3,Random
305,305,2,Random
306,306,2,Random
307,307,1,Random
308,308,3,Random
309,309,3,Random
310,310,1,Random
311,311,1,Random
312,312,4,Random
313,313,2,Random
314,314,2,Random
315,315,1,Random
316,316,4,Random
317,317,3,Random
318,318,4,Random
319,319,2,Random
320,320,3,No transition
321,321,2,Random
322,322,3,Random
323,323,1,Random
324,324,4,Random
325,325,1,Random
326,326,4,Random
327,327,1,Random
328,328,2,Random
329,329,3,Random
330,330,2,Random
331,331,3,Random
332,332,1,Random
333,333,3,Random
334,334,1,Random
335,335,4,Random
336,336,3,Random
337,337,4,Random
338,338,2,Random
339,339,1,Random
340,340,1,No transition
341,341,3,Random
342,342,3,Random
343,343,3,Random
344,344,2,Random
345,345,3,Random
346,346,4,Random
347,347,1,Random
348,348,4,Random
349,349,4,Random
350,350,4,Random
351,351,3,Random
352,352,2,Random
353,353,4,Random
354,354,2,Random
355,355,4,Random
356,356,1,Random
357,357,3,Random
358,358,4,Random
359,359,4,Random
360,360,3,No transition
361,361,1,Random
362,362,3,Random
363,363,1,Random
364,364,2,Random
365,365,4,Random
366,366,4,Random
367,367,3,Random
368,368,3,Random
369,369,1,Random
370,370,1,Random
371,371,1,Random
372,372,3,Random
373,373,4,Random
374,374,1,Random
375,375,2,Random
376,376,1,Random
377,377,3,Random
378,378,3,Random
379,379,1,Random
380,380,2,No transition
381,381,4,Random
382,382,2,Random
383,383,3,Random
384,384,2,Random
385,385,1,Random
386,386,2,Random
387,387,3,Random
388,388,4,Random
389,389,1,Random
390,390,4,Random
391,391,1,Random
392,392,3,Random
393,393,1,Random
394,394,1,Random
395,395,4,Random
396,396,1,Random
397,397,3,Random
398,398,2,Random
399,399,1,Random
400,400,2,No transition
401,401,1,Random
402,402,3,Random
403,403,2,Random
404,404,2,Random
405,405,4,Random
406,406,2,Random
407,407,4,Random
408,408,1,Random
409,409,3,Random
410,410,2,Random
411,411,4,Random
412,412,3,Random
413,413,3,Random
