,trials,trial_keys,trial_type
0,0,1,No transition
1,1,4,Training
2,2,3,Training
3,3,1,Training
4,4,2,Training
5,5,2,Training
6,6,4,Training
7,7,3,Training
8,8,1,Training
9,9,3,Training
10,10,2,Training
11,11,2,Training
12,12,2,Training
13,13,1,Training
14,14,2,Training
15,15,1,Training
16,16,1,Training
17,17,1,Training
18,18,1,Training
19,19,2,Training
20,20,1,No transition
21,21,2,Random
22,22,2,Random
23,23,3,Random
24,24,1,Random
25,25,4,Random
26,26,3,Random
27,27,1,Random
28,28,3,Random
29,29,4,Random
30,30,4,Random
31,31,1,Random
32,32,4,Random
33,33,3,Random
34,34,1,Random
35,35,2,Random
36,36,1,Random
37,37,2,Random
38,38,1,Random
39,39,4,Random
40,40,1,No transition
41,41,1,Random
42,42,3,Random
43,43,4,Random
44,44,4,Random
45,45,1,Random
46,46,2,Random
47,47,2,Random
48,48,2,Random
49,49,4,Random
50,50,2,Random
51,51,4,Random
52,52,1,Random
53,53,3,Random
54,54,1,Random
55,55,4,Random
56,56,1,Random
57,57,3,Random
58,58,1,Random
59,59,3,Random
60,60,3,No transition
61,61,2,Random
62,62,3,Random
63,63,1,Random
64,64,4,Random
65,65,4,Random
66,66,3,Random
67,67,4,Random
68,68,1,Random
69,69,4,Random
70,70,2,Random
71,71,4,Random
72,72,3,Random
73,73,4,Random
74,74,4,Random
75,75,3,Random
76,76,2,Random
77,77,1,Random
78,78,1,Random
79,79,2,Random
80,80,4,No transition
81,81,4,Random
82,82,3,Random
83,83,4,Random
84,84,2,Random
85,85,1,Random
86,86,4,Random
87,87,2,Random
88,88,4,Random
89,89,1,Random
90,90,2,Random
91,91,2,Random
92,92,3,Random
93,93,4,Random
94,94,3,Random
95,95,3,Random
96,96,3,Random
97,97,1,Random
98,98,2,Random
99,99,4,Random
100,100,1,No transition
101,101,2,Random
102,102,1,Random
103,103,4,Random
104,104,4,Random
105,105,3,Random
106,106,4,Random
107,107,4,Random
108,108,1,Random
109,109,3,Random
110,110,3,Random
111,111,3,Random
112,112,4,Random
113,113,2,Random
114,114,4,Random
115,115,2,Random
116,116,4,Random
117,117,4,Random
118,118,2,Random
119,119,4,Random
120,120,4,No transition
121,121,2,Random
122,122,1,Random
123,123,4,Random
124,124,2,Random
125,125,3,Random
126,126,1,Random
127,127,4,Random
128,128,4,Random
129,129,4,Random
130,130,3,Random
131,131,3,Random
132,132,4,Random
133,133,1,Random
134,134,2,Random
135,135,3,Random
136,136,2,Random
137,137,1,Random
138,138,4,Random
139,139,4,Random
140,140,4,No transition
141,141,3,Random
142,142,1,Random
143,143,1,Random
144,144,2,Random
145,145,1,Random
146,146,3,Random
147,147,2,Random
148,148,3,Random
149,149,3,Random
150,150,3,Random
151,151,4,Random
